UA (Volt),x (cm),I (A)
5000,"0,0","1,88"
5000,"1,0","1,63"
5000,"1,2","1,56"
5000,"1,4","1,50"
5000,"1,6","1,44"
5000,"1,8","1,38"
5000,"2,0","1,33"
5000,"2,2","1,27"
5000,"2,4","1,19"
5000,"2,6","1,15"
5000,"2,8","1,08"
5000,"3,0","1,03"
5000,"3,2","0,97"
5000,"3,4","0,90"
5000,"3,6","0,86"
5000,"3,8","0,80"
5000,"4,0","0,73"
5000,"4,2","0,69"
5000,"4,4","0,63"
5000,"4,6","0,58"
5000,"4,8","0,53"
5000,"5,0","0,47"
5000,"5,2","0,44"
5000,"5,4","0,40"
4500,0,"1,79"
4500,1,"1,53"
4500,"1,2","1,46"
4500,"1,4","1,42"
4500,"1,6","1,35"
4500,"1,8","1,31"
4500,2,"1,26"
4500,"2,2","1,18"
4500,"2,4","1,13"
4500,"2,6","1,07"
4500,"2,8","1,02"
4500,3,"0,97"
4500,"3,2","0,91"
4500,"3,4","0,87"
4500,"3,6","0,8"
4500,"3,8","0,76"
4500,4,"0,69"
4500,"4,2","0,65"
4500,"4,4","0,58"
4000,"0,0","1,70"
4000,"1,0","1,45"
4000,"1,2","1,39"
4000,"1,4","1,34"
4000,"1,6","1,28"
4000,"1,8","1,22"
4000,"2,0","1,19"
4000,"2,2","1,12"
4000,"2,4","1,08"
4000,"2,6","1,03"
4000,"2,8","0,98"
4000,"3,0","0,92"
4000,"3,2","0,86"
4000,"3,4","0,81"
4000,"3,6","0,77"
4000,"3,8","0,70"
4000,"4,0","0,64"
4000,"4,2","0,59"
3500,"0,0","1,56"
3500,"1,0","1,34"
3500,"1,2","1,29"
3500,"1,4","1,24"
3500,"1,6","1,19"
3500,"1,8","1,14"
3500,"2,0","1,09"
3500,"2,2","1,04"
3500,"2,4","0,99"
3500,"2,6","0,95"
3500,"2,8","0,89"
3500,"3,0","0,84"
3500,"3,2","0,79"
3500,"3,4","0,74"
3500,"3,6","0,70"
3500,"3,8","0,66"
3500,"4,0","0,60"
